Name,Link,Categories,Pricing,Platforms,Tags,Description
Unity,https://unity.com/,Game Engine,"Free, Subscription","Windows, Mac, Linux","2D, 3D, C#, Visual Scripting","Unity is the ultimate game development platform. Use Unity to build high-quality 3D and 2D games, deploy them across mobile, desktop, VR/AR, consoles or the Web, and connect with loyal and enthusiastic players and customers."
Unreal Engine,https://www.unrealengine.com/,Game Engine,"Free, Royalty","Windows, Mac, Linux","2D, 3D, C++, Visual Scripting",Unreal Engine is the world’s most open and advanced real-time 3D creation platform for photoreal visuals and immersive experiences.
Godot,https://godotengine.org/,Game Engine,Free,"Windows, Mac, Linux","2D, 3D, C#, C++","Godot provides a huge set of common tools, so you can just focus on making your game without reinventing the wheel."
GDevelop,https://gdevelop-app.com/,Game Engine,Free,"Windows, Mac, Linux, Web","2D, JavaScript, Visual Scripting","Create your own games with GDevelop: an open-source game creator. No programming skills are required! Quickly build and share your games on mobile (Android and iOS), desktop and on the web."
Game Maker Studio 2,https://www.yoyogames.com/gamemaker,Game Engine,"Trial, Paid, Subscription","Windows, Mac","2D, JavaScript, Visual Scripting",YoYo Games is the home of GameMaker. The easy to use powerful game engine that is the best for 2D games. Making games is for everyone.
Adobe Photoshop,https://www.adobe.com/products/photoshop.html,2D Art,"Trial, Subscription","Windows, Mac, iOS","Raster, Image Manipulation","From photo editing and compositing to digital painting, animation, and graphic design — you can do it all in Photoshop."
Gimp,https://www.gimp.org/,2D Art,Free,"Windows, Mac, Linux","Raster, Image Manipulation",GIMP - The GNU Image Manipulation Program: The Free and Open Source Image Editor
Autodesk Sketchbook,https://www.autodesk.com/products/sketchbook/overview,2D Art,"Trial, Subscription","Windows, Mac, Android, iOS","Raster, Digital Painting","Use SketchBook software for digital painting, drawing, sketching, and illustrated art. SketchBook can also be used to render ideas and create illustrations."
Krita,https://krita.org/en/,2D Art,Free,"Windows, Mac, Linux","Raster, Digital Painting",Krita is a professional FREE and open source painting program. It is made by artists that want to see affordable art tools for everyone.
Pro Motion NG,https://www.cosmigo.com/,2D Art,"Free, Paid","Windows, Mac, Linux","Raster, Pixel Art, Pixel Animation, Tiled Map",Pro Motion is a pixel drawing and animation software designed similar to the famous Amiga Deluxe Paint (DPaint). Ideal for artists working on detailed and pixel precise graphics as required for mobile games and portable game consoles. It also suites well to create light weight graphics for web games.
Aseprite,https://www.aseprite.org/,2D Art,"Trial, Paid","Windows, Mac, Linux","Raster, Pixel Art, Pixel Animation",Animated sprite editor & pixel art tool
Tiled,https://www.mapeditor.org/,2D Art,Free,"Windows, Mac, Linux","Raster, Pixel Art, Tiled Map",A flexible level editor
Adobe Illustrator,https://www.adobe.com/products/illustrator.html,2D Art,"Trial, Subscription","Windows, Mac","Vector, Graphic Art","The industry-standard vector graphics software lets you create everything from web and mobile graphics to logos, icons, book illustrations, product packaging, and billboards."
Inkscape,https://inkscape.org/,2D Art,Free,"Windows, Mac, Linux","Vector, Graphic Art","Inkscape is professional quality vector graphics software which runs on Linux, Mac OS X and Windows desktop computers."
Autodesk Maya,https://www.autodesk.com/products/maya/overview,3D Art,"Trial, Subscription","Windows, Mac, Linux","Model, Texture, Animate, Render","Maya is 3D computer animation software with powerful modeling, rendering, simulation, texturing, and animation tools for artists, modelers, and animators."
Blender,https://www.blender.org/,3D Art,Free,"Windows, Mac, Linux","Model, Sculpt, Texture, Animate, Render",Home of the Blender project - Free and Open 3D Creation Software
