Name,Link,Categories,Pricing,Platforms,Tags,Description
deltaDNA,https://deltadna.com/,Game Analytics,"Trial, Subscription",Web,,Build intelligent long-term relationships with players using personalized engagement – powered by deep and rich data!
Game Analytics,https://gameanalytics.com/,Game Analytics,Free,,,"Measure, understand and control player experiences in a single free tool, trusted by 80,000+ game developers across the world."
Flurry,http://www.flurry.com/,Game Analytics,Free,,,"Flurry is a mobile app analytics platform that empowers product, development and growth experts to build better apps that users love."
DevtoDev,https://www.devtodev.com/,Game Analytics,"Trial, Subscription",,,devtodev is a comprehensive analytics service that improves your games and saves your time
GameBench,https://www.gamebench.net/,Game Analytics,"Trial, Subscription",,,GameBench offers a set of mobile performance testing tools for Android & iOS devices and mobile games. Enable QA to quickly and easily spot performance issues.
Looker,https://looker.com/solutions/gaming,Game Analytics,License,Web,,Learn how Looker's gaming analytics software helps developers improve user experience and build better video games and keep players coming back.
UWA,https://en.uwa4d.com/,Game Analytics,"Free, Subscription",,,"UWA is designed to analyze and optimize potential performance issues during game and VR project development, helping R&D teams quickly check performance bottlenecks, efficiently locate reasons, and provide effective solutions in time."
Anodot,https://www.anodot.com/,Game Analytics,"Trial, Subscription",,,"Anodot autonomous business monitoring platform detects anomalies, correlate cross silos and forecasts business performance in real time. Mobile Only."
Yokozuna,http://www.yokozunadata.com/,Game Analytics,"Trial, Subscription",,,YOKOZUNA data provides next-generation predictive game data analytic software that uses state-of-the-art machine learning techniques and is scalable to millions of monthly active users.
App Annie,https://www.appannie.com/en/,Market Analytics,"Free, Subscription",,,"App Annie is the standard in app analytics and app market data, giving you one easy-to-use platform for running every stage of your app business."
App Trace,http://www.apptrace.com/,Market Analytics,Free,,,apptrace gives you complete access to discover the app economy. It is the most successful way to trace apps on this changing global market.
Pollen LTV Calculator,https://pollen.vc/financial-forecaster-start/,Sales Analytics,Free,,,Calculate LTV and predict your mobile app's cash flow across 365 days. Learn whether you can acquire users cost-effectively through paid user acquisition and when your app will become profitable.
StoreMaven,https://www.storemaven.com/,Market Analytics,Paid,,,"Use Storemaven to A/B test mobile app icons, screenshots, videos, and descriptions on the App Store and Google Play. Trusted by 80% of top mobile brands."
Steam Stats,https://store.steampowered.com/stats,Game Analytics,Free,Web,,Steam: Game and Player Statistics
Steam Charts,https://steamcharts.com/,Game Analytics,Free,Web,,"An ongoing analysis of Steam's player numbers, seeing what's been played the most."
Steam Spy,https://steamspy.com/,Sales Charts,"Free, Subscription",Web,,"Steam Spy automatically gathers data from Steam user profiles, analyzes it and presents in simple, yet beautiful, manner. Steam Spy is designed to be helpful for indie developers, journalists, students and all parties interested in PC gaming and its current state of affairs."
VG Insights,https://vginsights.com/,Sales Charts,Free,Web,,"VG Insights is for developers, publishers and anyone interested in video game market research. Providing 50+ datapoints per game for over 41,000 games!"
VG Chartz,http://www.vgchartz.com/,Sales Charts,Free,Web,,"VGChartz delivers comprehensive game chart coverage, including sales data, news, reviews, & game database for PS4, PS5, Xbox One, Series X, Nintendo Switch & PC"
Google Play Store,https://play.google.com/store/apps/top/category/GAME,Top Games Lists,Free,,,"Enjoy millions of the latest Android apps, games, music, movies, TV, books, magazines & more. Anytime, anywhere, across your devices."
Android Rank,https://www.androidrank.org/,Top Games Lists,Free,,,"Free Google Play (Android Market) history data, popularity rankings and analysis since 2011. Android market data exports on application ratings, installs, growth. List of most installed android applications and developers. List of all applications on Google Play."
App Store Charts,https://apps.apple.com/us/story/id1484100878,Top Games Lists,Free,,,Top Games in the App Store of 2019.
Facebook Games,https://www.facebook.com/games/query/top-grossing/,Top Games Lists,Free,,,The Facebook App Center is a place to play games and discover great apps on Facebook.
InfluxData,https://www.influxdata.com/,Business Analytics,"Trial, Subscription",,,"InfluxDB open source time series database, purpose-built by InfluxData for monitoring metrics and events, provides real-time visibility into stacks, sensors, and systems. Use InfluxDB to capture, analyze, and store millions of points per second, meet demanding SLA's, and chart a path to automation."
SignalFX,https://www.signalfx.com/,Business Analytics,"Trial, Subscription",,,Splunk and SignalFx Combine Forces to Usher In New Era of APM; Joint Offering Helps Customers Monitor and Observe Data at Any Stage of their Cloud Journey
Google Trends,https://trends.google.com/trends/,Trend Info,Free,Web,,Shows the popularity of search requests over time.
ESA Trends,https://www.theesa.com/esa-research/2020-essential-facts-about-the-video-game-industry/,Trend Info,Free,Web,,The Entertainment Software Association's annual research report discovers who plays video games--it may not be who you think.
